file,line,column,type,code,message
includes/certificates/providers/class-provider-glesys.php,74,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""GleSYS: no domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-cloudns.php,52,74,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'substr'."
includes/certificates/providers/class-provider-cloudns.php,92,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""ClouDNS: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-desec.php,71,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""deSEC: no domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-bunny.php,78,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Bunny.net: no DNS zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-easydns.php,74,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""easyDNS: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-porkbun.php,77,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Porkbun: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-akamai.php,75,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Akamai Edge DNS: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-mythicbeasts.php,81,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Mythic Beasts: no zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-mythicbeasts.php,95,87,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$response'."
includes/certificates/providers/class-provider-gandi.php,71,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Gandi: no LiveDNS zone found for {$fqdn}.""'."
includes/certificates/providers/class-provider-namecom.php,74,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""Name.com: no domain found for {$fqdn}.""'."
includes/certificates/providers/class-provider-dnsmadeeasy.php,86,38,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '""DNS Made Easy: no managed domain found for {$fqdn}.""'."
